GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.common,ThreadLocalIndex,60,0,2,0,11,0,4,0,3,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.common,ClientErrorCode,3,0,0,0,1,0,1,0,1,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullMessageService,151,0,8,0,42,0,13,0,9,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl,397,0,36,0,104,0,30,0,11,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ProcessQueue,888,0,64,0,218,0,65,0,33,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.new ThreadFactory() {...},12,0,0,0,2,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.new Runnable() {...},18,0,0,0,6,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.MessageQueueListenerImpl,39,0,3,0,10,0,4,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,AssignedMessageQueue,350,0,48,0,94,0,42,0,18,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.SubscriptionType,34,0,0,0,2,0,1,0,1,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceLitePullImpl,219,0,22,0,68,0,21,0,9,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullRequest,148,0,22,0,41,0,25,0,14,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceImpl,1077,0,106,0,258,0,78,0,24,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},16,0,0,0,6,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPullConsumerImpl,1496,0,114,0,340,0,124,0,65,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.ConsumeRequest,24,0,0,0,8,0,4,0,4,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl.PullTaskImpl,531,0,49,0,87,0,31,0,6,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,AssignedMessageQueue.MessageQueueState,66,0,0,0,26,0,13,0,13,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService,622,0,47,0,138,0,41,0,16,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.1.new Runnable() {...},57,0,0,0,10,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePullImpl,62,0,2,0,21,0,10,0,9,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},38,0,2,0,6,0,3,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalanceService,53,0,2,0,13,0,5,0,4,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.new Runnable() {...},22,0,0,0,3,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,RebalancePushImpl.new Runnable() {...},25,0,0,0,4,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl.new PullCallback() {...},241,0,18,0,43,0,13,0,3,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullAPIWrapper,480,0,52,0,118,0,40,0,14,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService,704,0,68,0,173,0,59,0,21,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService.ConsumeRequest,301,0,30,0,66,0,20,0,5,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultLitePullConsumerImpl,1957,0,219,0,476,0,184,0,73,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPushConsumerImpl,2448,0,211,0,517,0,182,0,74,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageOrderlyService.ConsumeRequest,430,0,56,0,99,0,32,0,4,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullMessageService.new ThreadFactory() {...},12,0,0,0,2,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullMessageService.new Runnable() {...},15,0,0,0,3,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService.new Runnable() {...},26,0,0,0,3,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,PullResultExt,24,0,0,0,8,0,4,0,4,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService.new Runnable() {...},16,0,0,0,6,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,ConsumeMessageConcurrentlyService.new Runnable() {...},17,0,0,0,3,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,MessageQueueLock,32,0,4,0,9,0,4,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.consumer,DefaultMQPullConsumerImpl.new PullCallback() {...},40,0,0,0,7,0,3,0,3,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,MQPullConsumerScheduleService,238,0,14,0,55,0,21,0,14,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,MQPullConsumerScheduleService.PullTaskImpl,100,0,6,0,29,0,8,0,5,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,DefaultLitePullConsumer,518,0,14,0,166,0,84,0,77,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,MessageSelector,27,0,0,0,8,0,5,0,5,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,DefaultMQPullConsumer,454,0,2,0,112,0,59,0,58,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,MQPullConsumerScheduleService.MessageQueueListenerImpl,29,0,3,0,9,0,4,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,DefaultMQPushConsumer,746,0,10,0,202,0,93,0,88,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,PullTaskContext,20,0,0,0,8,0,5,0,5,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,PullResult,75,0,2,0,16,0,9,0,8,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.consumer,PullStatus,44,0,0,0,5,0,1,0,1,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.utils,MessageUtil,70,0,4,0,19,0,5,0,3,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,LocalTransactionState,34,0,0,0,4,0,1,0,1,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,RequestResponseFuture,131,0,8,0,42,0,23,0,19,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,DefaultMQProducer,931,0,10,0,210,0,92,0,87,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,RequestFutureHolder,148,0,12,0,38,0,13,0,7,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,SendResult,150,0,0,0,46,0,22,0,22,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,TransactionMQProducer,164,0,4,0,47,0,24,0,22,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,RequestFutureHolder.new Runnable() {...},15,0,0,0,6,0,2,0,2,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,SendStatus,44,0,0,0,5,0,1,0,1,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.producer,TransactionSendResult,10,0,0,0,5,0,3,0,3,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.exception,RequestTimeoutException,48,0,0,0,14,0,6,0,6,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.exception,MQBrokerException,74,0,2,0,14,0,6,0,5,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.exception,MQClientException,50,0,0,0,14,0,6,0,6,0
rocketmq-client 4.9.5-SNAPSHOT,org.apache.rocketmq.client.impl.factory,MQClientInstance,2689,0,321,0,632,0,218,0,56,0
