GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging,InternalLoggerFactory,79,0,10,0,29,0,12,0,7,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging,InnerLoggerFactory.FormattingTuple,60,0,6,0,18,0,9,0,6,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging,Slf4jLoggerFactory,1,14,0,0,1,6,1,3,1,3
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging,Slf4jLoggerFactory.Slf4jLogger,70,64,0,0,22,23,11,11,11,11
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging,InnerLoggerFactory,3,12,0,0,2,5,1,3,1,3
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging,InnerLoggerFactory.InnerLogger,96,110,0,0,25,32,10,13,10,13
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging,InnerLoggerFactory.MessageFormatter,696,0,90,0,152,0,63,0,18,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,SysLogger,74,39,19,3,23,12,16,5,5,5
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder,3,14,0,0,1,3,1,3,1,3
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.WriterAppender,248,0,40,0,76,0,37,0,17,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.DefaultLayout,93,0,4,0,20,0,5,0,3,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.AsyncAppender.Dispatcher,147,0,18,0,38,0,11,0,2,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Level,181,0,29,0,48,0,28,0,11,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Logger.DefaultLoggerRepository.CategoryKey,4,33,3,3,2,9,3,3,0,3
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Appender.AppenderPipelineImpl,198,0,44,0,54,0,31,0,9,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Logger.ProvisionNode,0,6,0,0,0,3,0,1,0,1
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.LayoutBuilder,5,23,1,1,1,7,1,4,0,4
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Layout,0,9,0,0,0,4,0,4,0,4
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.FileAppender,257,0,18,0,72,0,24,0,15,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.QuietWriter,43,0,2,0,14,0,4,0,3,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Logger.DefaultLoggerRepository,345,0,34,0,88,0,30,0,13,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.RollingFileAppender.CountingQuietWriter,36,0,0,0,12,0,4,0,4,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.ConsoleAppender,66,0,6,0,20,0,9,0,6,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Logger,350,0,74,0,104,0,66,0,29,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Appender,120,0,12,0,35,0,17,0,11,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.SimpleLayout,2,29,0,0,1,7,1,2,1,2
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.RollingFileAppender,316,0,32,0,62,0,25,0,9,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.DailyRollingFileAppender,412,0,35,0,82,0,28,0,8,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.AsyncAppender,355,0,30,0,99,0,29,0,14,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingEvent,157,0,18,0,47,0,16,0,7,0
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.AppenderBuilder,5,153,1,3,1,52,1,10,0,9
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.RollingCalendar,65,107,4,5,18,32,4,8,0,5
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,Logger.RootLogger,0,8,0,0,0,3,0,1,0,1
rocketmq-logging 4.9.5-SNAPSHOT,org.apache.rocketmq.logging.inner,LoggingBuilder.AsyncAppender.DiscardSummary,61,0,2,0,14,0,4,0,3,0
